description,height,weight,base_experience,is_legendary,is_mythical,generation,hp,attack,defense,special-attack,special-defense,speed
"Ovi Pokemoni nestaju i pojavljuju se neočekivano. Mnoge trenere privlači njihova prelepa forma i krzno. Kratko se prikrada svojoj meti, udarajući s leđa pre nego što žrtva ima priliku da reaguje. Njihova lepa forma potiče od mišića koje su razvili. Nečujno trče u noći.",11,375,156,FALSE,FALSE,generation-v,64,88,50,88,50,106
Zakrivljeni rogovi suptilno menjaju protok vazduha da bi stvorili čudan prostor gde je stvarnost iskrivljena. Oni koji bulje u njegove rogove postepeno će izgubiti kontrolu nad svojim čulima i neće moći da stoje. Okrugle kuglice koje se nalaze na palim rogovima mogu se samleti u prah koji pomaže pri spavanju.,14,712,163,FALSE,FALSE,generation-ii,73,95,62,85,65,85
"Poznata kao legendarna vatrena ptica. Svaki zamah njegovih krila stvara blistav bljesak plamena. Legendarna ptica POKeMON. Dok zamahne svojim plamenim krilima, čak će i noćno nebo postati crveno. Ovaj legendarni POKeMON razbacuje žar svakim zamahom svojih krila. To je uzbudljiv prizor za posmatranje.",20,600,261,TRUE,FALSE,generation-i,90,100,90,125,85,90
"Ima savitljivo telo bez ikakvih kostiju. Ako mu se bilo koji deo tela otkine, ponovo izraste. Očigledno je u drevnim vremenima imao ogromnu školjku za zaštitu. Živi u plitkim plimskim bazenima. Davno, cela njegova leđa bila je zaštićena čvrstom školjkom. U njegovim ćelijama su ostali tragovi.",9,299,166,FALSE,FALSE,generation-iv,111,83,68,92,82,39
"MANECTRIC stalno ispušta struju iz svoje grive. Varnice ponekad zapale šumske požare. Kada uđe u bitku, ovaj POKeMON stvara grmljavinske oblake. MANECTRIC ispušta jaku struju iz svoje grive. Griva se koristi za sakupljanje struje u atmosferi. Ovaj POKeMON stvara grmljavinske oblake iznad svoje glave. Pošto grom pada u njihovoj blizini, smatralo se da je MANEKTRIK rođen iz munje. U borbi stvaraju grmljavinu.",15,402,166,FALSE,FALSE,generation-iii,70,75,60,105,60,105
"Čvrsta školjka CLAMPERL-a nije dobra samo za zaštitu - takođe se koristi za stezanje i hvatanje plena. Potpuno izrasla školjka CLAMPERL-a će imati ogrebotine i ogrebotine. CLAMPERL raste dok je zaštićena svojom ljuskom tvrdom kao kamen. Kada njegovo telo postane preveliko da stane u školjku, to je siguran dokaz da se ovaj POKeMON približava evoluciji. STEZALjKA udara svojom školjkom o plen kako bi sprečila bekstvo. Za biser koji stvara evolucijom se kaže da je prožet misterioznom energijom.",4,525,69,FALSE,FALSE,generation-iii,35,64,85,74,55,32
"VHISCASH je izuzetno teritorijalna. Samo jedan od ovih POKeMON-a će tražiti veliki ribnjak kao svoju ekskluzivnu teritoriju. Ako mu se neprijatelj približi, on se lupa i izaziva snažan zemljotres. Ako VHISCASH divlja, izaziva podrhtavanje nalik potresu u radijusu od preko tri milje. Ovaj POKeMON ima sposobnost da predvidi prave zemljotrese. Misteriozno, može da predskazuje zemljotrese. Danju spava u blatu na dnu bare. Kada se probudi, stalno se hrani tokom cele noći.",9,236,164,FALSE,FALSE,generation-iii,110,78,73,76,71,60
"Može da kljuca brzinom od 16 puta u sekundi da izbuši rupe u drveću. Koristi rupe za skladištenje hrane i za gnežđenje. Ovaj Pokemon se hrani bobicama, čije ostatke semena postaju municija za napade koje ispaljuje iz svojih usta. Tvrdim kljunom kljuca drveće. Možete dobiti neku predstavu o njegovom raspoloženju ili stanju iz ritma njegovog kljucanja.",3,12,53,FALSE,FALSE,generation-vii,35,75,30,30,30,65
Kažu da se najčešće krije u podvodnim pećinama. Može stvarati vrtloge zevanjem. Spava duboko na dnu okeana da bi izgradio svoju energiju. Kaže se da izaziva tornada dok se budi. On skladišti energiju spavajući na podvodnim dubinama na kojima nijedan drugi oblik života ne može da preživi.,18,1520,243,FALSE,FALSE,generation-ii,75,95,95,95,95,85
"Iz krila ispaljuje pera za strele sa takvom preciznošću da mogu da probiju kamenčić na udaljenosti većoj od stotinu metara. Iako je u osnovi hladan i oprezan, kada ga iznenadi, uhvati ga panika. Zakucava pera strela i gađa njima protivnike. Kada jednostavno ne može da priušti da promaši, vuče lozu za glavu da bi poboljšao svoj fokus.",16,366,239,FALSE,FALSE,generation-vii,78,107,75,100,100,70
"Gusta magla koju stvara donosi propast i uništenje njegovih zbunjenih neprijatelja. Okeanske struje su izvor njegove energije. Božanstvo čuvar Ponija, može da kontroliše vodu. Ljudi kažu da može stvoriti čistu vodu koja će oprati svaku nečistoću. Ovo božanstvo čuvar ostrva Poni manipuliše vodom. Pošto živi duboko u gustoj magli, počeo je da se plaši i poštuje.",13,212,257,TRUE,FALSE,generation-vii,70,75,115,95,130,85
"Poznat je po visokom nivou inteligencije, a velika veličina njegovog mozga je dokaz da poseduje i ogromnu psihičku moć. Emituje psihičku energiju za posmatranje i proučavanje onoga što je oko njega - a ono što je oko njega može uključivati stvari udaljene više od šest milja.",4,408,253,FALSE,FALSE,generation-viii,60,45,110,80,120,90
"Odgoni protivnike tako što izlučuje lepljivu tečnost koja može da rastvori bilo šta. Oči su mu se okrenule, tako da ne može ništa da vidi. Njegova četiri sirena su radarski sistem visokih performansi. Koristi ih da oseti zvukove i mirise, umesto da koristi uši ili nos. Ima problema da povuče granicu između prijatelja i hrane. Mirno će pokušati da se otopi i pojede čak i one sa kojima se dobro slaže.",8,175,158,FALSE,FALSE,generation-vi,68,75,53,83,113,60
"Kao i biljka, koristi fotosintezu. Kao rezultat toga, uvek je obavijen čistim vazduhom. U osnovi se ne bori. Sa ćelijama sličnim ćelijama biljaka, može da obavlja fotosintezu. Kada vidite LEAFEON-a kako spava na parčetu sunca, znaćete da koristi fotosintezu za proizvodnju čistog vazduha.",10,255,184,FALSE,FALSE,generation-iv,65,110,130,60,65,95
"Njegova tvrda školjka odbija svaku vrstu napada. Ranjiv je samo kada je njegova školjka otvorena. Školjka može izdržati svaki napad. Međutim, kada je otvoreno, telo tendera je izloženo. Ona pliva okrenuta unazad tako što otvara i zatvara svoju dvodelnu školjku. To je iznenađujuće brzo.",3,40,61,FALSE,FALSE,generation-i,30,65,100,45,25,40
"Sa kosom omotanom oko tela koja pomaže da poboljša mišiće, ovaj Pokemon može nadvladati čak i Machampa. Njegove dlake rade kao mišićna vlakna. Kada mu se dlake razviju, zakače se za protivnike, hvatajući ih kao pipke.",15,610,255,FALSE,FALSE,generation-viii,95,120,65,95,75,60
Malo je izveštaja da je ovo stvorenje viđeno. Jedan kratki video prikazuje kako divlja i izbija plamene stubove. Podseća na jezivog Pokemona koji je jednom prikazan u paranormalnom časopisu. Za tog Pokemona je rečeno da je Entei regenerisan iz fosila.,35,5900,295,FALSE,FALSE,generation-ix,105,115,121,65,93,91
Akademska teorija predlaže da su Regidragove ruke nekada bile glava drevnog zmajevog Pokemona. Teorija ostaje nedokazana. Njegovo telo je sastavljeno od kristalizovane energije zmaja. Za Regidrago se kaže da ima moći svakog zmajevog Pokemona.,21,2000,290,TRUE,FALSE,generation-viii,200,100,50,100,50,80
"Pošto slomljena kljova neće ponovo izrasti, oni marljivo oštre svoje kljove na rečnim stenama nakon što su se borili. Njihove kljove mogu razbiti kamenje. Borbe za teritoriju između Frakurea mogu biti intenzivno nasilne. Slomljena kljova neće ponovo izrasti, pa po završetku bitke marljivo oštri svoje kljove o rečne stene.",10,360,144,FALSE,FALSE,generation-v,66,117,70,40,50,67
"Kuglica niti omotana oko njegovog tela dovoljno je elastična da odbije kose Scithera, prirodnog neprijatelja ovog Pokemona. Konac koji luči sa svoje zadnje strane je jak kao žica. Tajna iza snage niti je tema stalnog istraživanja.",3,40,42,FALSE,FALSE,generation-ix,35,41,45,29,40,20
"Postaje aktivan noću, poznato je da se roji sa brojnim MURKROV-om. To čini da mu njegovi prijatelji iz MURKROV-a donose hranu. Neposluje svoje vreme, negujući se u svom gnezdu. Ako neko izgovori dubok krik, mnogi MURKROV se brzo okupljaju. Zbog toga se zove „Prizivač noći“.",9,273,177,FALSE,FALSE,generation-iv,100,125,52,105,52,71
Energija stvorena u električnim kesama njegovih obraza čuva se unutar njegove membrane i oslobađa dok klizi. Žive na krošnjama drveća i klize koristeći unutrašnjost membrane nalik na plašt dok ispuštaju struju. Klizi po svojoj ispruženoj membrani dok šokira neprijatelje električnom energijom pohranjenom u kesama na obrazima.,4,50,150,FALSE,FALSE,generation-v,55,75,60,75,60,103
"Flitlovi prsti levitiraju oko pola inča iznad zemlje zbog psihičke moći koja se emituje iz nabora na Pokemonovom stomaku. Provodi svoje vreme trčeći po pustinjama. Ako neko ukrade njegove voljene bobice, poteraće ih i osvetiti se.",2,15,51,FALSE,FALSE,generation-ix,30,35,30,55,30,75
"Svaki put kada udahne i izdahne, vrela žeravica curi iz njegovih usta i nozdrva. Nalazi se u vulkanskim kraterima. Njegova telesna temperatura. je preko 1100 stepeni, pa ga nemojte potcenjivati. Prirodno izbacuje plamen od 1100 stepeni. Kaže se da kada se mnogi pojave, to najavljuje erupciju vulkana.",7,214,73,FALSE,FALSE,generation-ii,45,75,37,70,55,83
"Njegov rep ima sopstveni mali mozak. Čuvajte se! Ako se približite, može reagovati na vaš miris i ugriz. Njegov rep, koji takođe sadrži mali mozak, može sam da ugrize ako primeti privlačan miris. Kada je u opasnosti, njegov rep koristi neku vrstu misteriozne moći da otera neprijatelja.",15,415,159,FALSE,FALSE,generation-ii,70,80,65,90,65,85
"Evoluirao je od izlaganja posebnom magnetnom polju. Tri jedinice stvaraju magnetizam. Grupa je pokušala da upotrebi naučna sredstva da bi MAGNEZONE evoluirala, ali su se njihovi napori završili neuspehom. Izlaganje specijalnom magnetnom polju promenilo je molekularnu strukturu MAGNETONA, pretvarajući ga u MAGNEZON.",12,1800,241,FALSE,FALSE,generation-iv,70,70,115,130,90,60
"Udara neprijatelje oštrim odmotavanjem zakotrljanih ušiju. Peče dovoljno da odrasla osoba zaplače od bola. Kada oseti opasnost, diže uši. U hladnim noćima spava sa glavom uvučenom u krzno. Uši su mu uvek zavrnute. Mogu se snažno proširiti da razbiju čak i veliku stenu.",4,55,70,FALSE,FALSE,generation-iv,55,66,44,44,56,85
"Njegov Tackle je dovoljno snažan da prevrne tenk od 50 tona. Svojim telom štiti svoje saveznike od opasnosti. Kada zauzme odbrambeni položaj sa pesnicama koje mu čuvaju lice, može da izdrži eksploziju bombe.",16,900,239,FALSE,FALSE,generation-vi,88,107,122,74,75,64
"U mitologiji je opisan kao Pokemon koji je oblikovao univerzum sa svojih 1000 ruku. U mitologiji se kaže da je ovaj Pokemon rođen pre nego što je univerzum uopšte postojao. Kažu da je nastao iz jajeta na mestu gde nije bilo ničega, a zatim je oblikovao svet.",32,3200,324,FALSE,TRUE,generation-iv,120,120,120,120,120,120
"S hrabrim uzvikom skače na svoj plen. Njegovi ljuskavi udarci rasturaju njegove protivnike u komadiće. Kontinuirano odbacuje i ponovo raste svoje ljuspice. Vage postaju sve tvrđe i oštrije svaki put kada izrastu. Pravi buku tako što zvecka svoje vage. Kada je ritam dostigao vrhunac, Hakamo-o napada.",12,470,147,FALSE,FALSE,generation-vii,55,75,90,65,70,65
"Veoma zaštitnički na svom prostranom teritorijalnom području, ovaj POKeMON će žestoko kljucati svakog uljeza. Ovaj POKeMON je pun vitalnosti. Stalno leti oko svoje velike teritorije u potrazi za plenom. Ima izvanrednu viziju. Koliko god visoko leti, u stanju je da razlikuje pokrete svog plena.",11,300,122,FALSE,FALSE,generation-i,63,60,55,50,50,71
"Kada se nekoliko ovih POKeMON-a okupi, njihova struja bi mogla da se stvori i izazove oluje sa munjama. Drži podignut rep kako bi nadgledao svoju okolinu. Ako ga povučete za rep, pokušaće da vas ugrize. Ovaj inteligentni POKeMON peče tvrdo BOBIČE na struju da bi ih učinio dovoljno mekim za jelo.",4,60,112,FALSE,FALSE,generation-i,35,55,40,50,50,90
"Njegovo centralno jezgro sija sa sedam duginih boja. Neki ljudi cene jezgro kao dragulj. Centralni deo je nazvan jezgrom. Ljudi misle da komunicira kada svetli u 7 boja. Središnji deo njegovog tela naziva se jezgro. Svaki put kada se vidi, sija u drugoj boji.",11,800,182,FALSE,FALSE,generation-i,60,75,85,100,85,115
"Ima grančicu zabodenu u rep. Trenjem od repnog krzna, on zapali grančicu i kreće u bitku. Kada se grančica iščupa iz repa, trenje je pali. Plamen se koristi za slanje signala svojim saveznicima.",10,145,143,FALSE,FALSE,generation-vi,59,59,58,90,70,73
"Smatra se da je jedan od prvih Pokemona koji je živeo u harmoniji sa ljudima, ali ima smireno raspoloženje. Ako ima sunca i vode, ne treba da jede, jer može da generiše energiju iz listova na leđima.",9,310,70,FALSE,FALSE,generation-vi,66,65,48,62,57,52
"Ovaj Pokemon podseća na nepoznati objekat opisan u paranormalnom časopisu kao NLO koji je poslat da posmatra čovečanstvo. Ne postoje zapisi o hvatanju ove vrste. Podaci nedostaju, ali Pokemonove osobine se poklapaju sa objektom opisanim u staroj knjizi.",12,360,285,FALSE,FALSE,generation-ix,80,70,60,140,110,110
"Sa vrhova stopala SURSKIT luči ulje koje mu omogućava da hoda po vodi kao da kliže. Ovaj POKeMON se hrani mikroskopskim organizmima u barama i jezerima. Ako SURSKIT oseti opasnost, sa vrha glave luči gust, slatki sirup. Postoje neki POKeMON koji vole da jedu ovaj sirup. Skupljaju se na lokvama posle večernjih pljuskova, klize po površini vode kao da klize. Iz glave luči med slatke arome.",5,17,54,FALSE,FALSE,generation-iii,40,30,32,50,52,65
"Tokom dana drži lice zakopano u zemlju. Noću luta sejući svoje seme. Može se pogrešiti sa gomilom korova. Ako pokušate da ga izvučete iz zemlje, on užasno vrišti. Probuđen mesečevom svetlošću, noću aktivno luta. Danju, ostaje tiho pod zemljom.",5,54,64,FALSE,FALSE,generation-i,45,50,55,75,65,30
"Akumulira negativne jone u atmosferi da bi izbacio munje od 10000 volti. Osetljiv POKe MON koji lako postaje tužan ili ljut. Svaki put kada mu se promeni raspoloženje, on puni energiju. Koncentriše slabe električne naboje koje emituju njegove ćelije i pokreće zle munje.",8,245,184,FALSE,FALSE,generation-i,65,65,60,110,95,130
"DUSTOKS je instinktivno privučen svetlosti. Rojeve ovog POKeMON-a privlače jarka svetla gradova, gde prave pustoš tako što skidaju lišće sa drveća pored puta u potrazi za hranom. Kada DUSTOKS zamahne krilima, fina prašina se rasprši svuda. Ova prašina je zapravo moćan otrov koji će čak i profesionalnom rvaču razboleti. Ovaj POKeMON traži hranu koristeći svoje antene poput radara. To je noćni POKeMON koji noću leti sa polja i planina do privlačnosti ulične rasvete. Iz krila gubi veoma toksičan prah.",12,316,173,FALSE,FALSE,generation-iii,60,50,70,50,90,65
Dugo je verovalo da će lek napravljen od njegovih krljušti izlečiti čak i neizlečive bolesti. Po navici iskopava i skuplja dragulje u svom gnezdu. Njegov plen je stalno na meti lopova. Voli svetlucave stvari. Ona traži blago u pećinama i skuplja plen u svom gnezdu.,14,560,144,FALSE,FALSE,generation-iv,68,90,65,50,55,82
"Privlači ljude svojim uzorkom Poke Ball, a zatim oslobađa spore otrova. Zašto liči na poke loptu nije poznato. Iz nekog razloga, ovaj Pokemon podseća na Poke loptu. Oni oslobađaju spore otrova da odbiju one koji pokušavaju da ih uhvate. Primami Pokemone svojim uzorkom koji izgleda baš kao Poke Ball, a zatim oslobađa spore otrova.",2,10,59,FALSE,FALSE,generation-v,69,55,45,55,55,15
Ima nerazvijene električne vrećice na obrazima. Ove vreće mogu proizvesti električnu energiju samo ako ih Pavmi bijesno trlja jastučićima na prednjim šapama. Jastučići njegovih šapa su organi za pražnjenje struje. Pavmi ispaljuje struju iz svojih prednjih šapa dok nestabilno stoji na zadnjim nogama.,3,25,48,FALSE,FALSE,generation-ix,45,50,20,40,25,60
"Neprekidno linja i raste. Vrh njegove glave cenjen je kao blago zbog svoje lepote. U južnoj morskoj naciji, ljudi žive u zajednicama koje su izgrađene na grupama ovih POKeMON-a. Tačke na njegovoj glavi apsorbuju hranljive materije iz čiste vode. Ne mogu da prežive u zagađenoj vodi.",6,50,144,FALSE,FALSE,generation-ii,65,55,95,65,95,35
"Brutalni POKeMON sa mlazovima vode pod pritiskom na ljusci. Koriste se za velike brzine. Jednom kada nanišani svog neprijatelja, izbacuje vodu sa još većom snagom od vatrogasnog creva. Namerno se čini teškim kako bi mogao da izdrži trzaj vodenih mlaza koje ispaljuje.",16,855,239,FALSE,FALSE,generation-i,79,83,100,85,105,78
"Pojavio se iz ultra crvotočine. Čini se da je svaki sačinjen od mnogih životnih oblika naslaganih jedan na drugi. Kada su kameni zidovi počeli da se pomeraju i napadaju, pravi identitet zverke bio je ovaj misteriozni oblik života, koji podseća na Ultra zver.",55,8200,257,FALSE,FALSE,generation-vii,61,131,211,53,101,13
"Strogi trening je način na koji uči svoju tečnu tehniku dvostrukog skalčopa. Scalchop tehnike se razlikuju od jednog Devota do drugog. Nikada ne zanemaruje održavanje svojih skalchopsa. Kao rezultat stroge obuke, svaki Devott uči različite oblike upotrebe skalchopsa.",8,245,145,FALSE,FALSE,generation-v,75,75,60,83,60,60
"Ovaj Pokemon je davno migrirao u Paldeu iz dalekih zemalja. Gel koji luči njegovo perje odbija vodu i prljavštinu."" Njegove snažne noge omogućavaju mu da lako pliva čak i u rekama sa brzim tokom. Voli da drži stvari uredno i sklona je preteranom razmišljanju.",5,61,62,FALSE,FALSE,generation-ix,55,65,45,50,45,50
Pre više od 300 miliona godina strahovali su od njega kao najjačeg lovaca. Izmenio ga je Team Plasma. Tim Plazma je izmenio ovaj drevni pokemon bube. Nadogradili su top na leđima. Ovaj Pokemon je postojao pre 300 miliona godina. Tim Plazma ga je izmenio i pričvrstio top na leđa.,15,825,270,FALSE,TRUE,generation-v,71,120,95,120,95,99
"Ovi prijateljski raspoloženi Pokemoni šalju signale jedni drugima prelepim cvrkutom i pokretima repnog pera. Uprkos lepoti svog blistavog glasa, nemilosrdan je prema uljezima koji uđu na njegovu teritoriju. Ovaj simpatičan Pokemon se lako trenira. Ali kada se bitka pridruži, ona pokazuje svoju svirepu stranu.",3,17,56,FALSE,FALSE,generation-vi,45,50,43,40,38,62
"Ako zamahne krilima veoma brzo, može da stvori udarne talase koji će razbiti prozore u tom području. Njegove velike oči mogu skenirati 360 stepeni. Gleda na sve strane da traži insekte kao plen. Može da vidi u svim pravcima bez pomeranja velikih očiju, pomažući mu da odmah uoči napadače i hranu.",12,380,78,FALSE,FALSE,generation-ii,65,65,45,75,45,95
"RELICANTH je vrsta POKeMONA koja je postojala sto miliona godina, a da nije promenila svoj oblik. Ovaj drevni POKeMON se hrani mikroskopskim organizmima svojim bezubim ustima. RELIKANT je retka vrsta koja je otkrivena u istraživanjima dubokog mora. Telo ovog POKeMON-a izdržava ogroman pritisak vode u dubinama okeana. Telo mu je prekriveno čvrstim ljuskama koje su poput stenovitih stena. POKeMON za koji se nekada verovalo da je izumro. Vrsta nije promenila svoj oblik 100 miliona godina. Hoda po morskom dnu koristeći svoja prsna peraja.",10,234,170,FALSE,FALSE,generation-iii,100,90,130,45,65,55
"Da ih vetar ne odnese, skupljaju se u grozdove. Ipak, uživaju u blagom povetarcu. Njegovo telo je tako lagano da mora čvrsto da se uhvati za tlo nogama da ga ne bi oduvalo. Može se odneti čak i na najblažem povetarcu. Možda čak i pluta sve do sledećeg grada.",4,5,50,FALSE,FALSE,generation-ii,35,35,40,35,55,50
"Većina njegovog tela ima isti sastav kao ugalj. Prikladno, ovaj Pokemon je prvi put otkriven u rudnicima uglja pre oko 400 godina. Može da se juri okolo kao monocikl, čak i po grubom, kamenitom terenu. Sagorevanje uglja ga održava.",3,120,48,FALSE,FALSE,generation-viii,30,40,50,40,50,30
"Površina MARSHTOMP-ovog tela obavijena je tankim, lepljivim filmom koji mu omogućava da živi na kopnu. Ovaj POKeMON se igra u blatu na plažama kada je plima niska. MARSHTOMP je mnogo brži u putovanju kroz blato nego u plivanju. Zadnji deo ovog POKeMON-a pokazuje očigledan razvoj, dajući mu mogućnost da hoda samo na zadnjim nogama. Oštre zadnje noge mu omogućavaju da stoji uspravno. Pošto oslabi ako mu se koža osuši, nadoknađuje tečnost igrajući se u blatu.",7,280,142,FALSE,FALSE,generation-iii,70,85,70,60,70,50
Njegova izdržljiva vitalnost omogućava mu da se prilagodi svakom okruženju. Njegove klešta nikada neće osloboditi plen. CORPHISH su prvobitno bili strani POKeMON koji su uvezeni kao kućni ljubimci. Na kraju su se pojavili u divljini. Ovaj POKeMON je veoma izdržljiv i značajno je povećao svoju populaciju. KORFIŠ hvata plen svojim oštrim kandžama. Ne voli ili ne voli kada je u pitanju hrana - poješće sve. Ovaj POKeMON nema problema da živi u prljavoj vodi.,6,115,62,FALSE,FALSE,generation-iii,43,80,65,50,35,35
"Ako mu je telo pocepano, može ponovo da izraste ako ostane crveno jezgro. Jezgro treperi u ponoć. Zagonetni POKeMON koji može bez napora da regeneriše svaki dodatak koji izgubi u borbi. Sve dok je središnji deo neoštećen, može u potpunosti da izraste čak i ako je isečen na komadiće.",8,345,68,FALSE,FALSE,generation-i,30,45,55,70,55,85
"Ljuska mu je tvrda kao lim, a takođe je veoma čvrsta. Njegov TRASHING može srušiti planinu. Čak i zatvoren u svojoj ljusci, može se slobodno kretati. Čvrst i brz, ima izuzetnu destruktivnu moć. Neće stajati mirno, čak ni dok je kukuljica. Već ima ruke i noge ispod svoje čvrste školjke.",12,1520,144,FALSE,FALSE,generation-ii,70,84,70,65,70,51
"Nadimak „morski nasilnik“, ŠARPEDO je široko strahovan. Njegovi okrutni očnjaci odmah izrastu ako se otkinu. Samo jedan od ovih POKeMON-a može temeljno da raskomada supertanker. SHARPEDO može plivati brzinom do 75 mph tako što izbacuje morsku vodu sa zadnje strane. Nedostatak ovog POKeMON-a je njegova nesposobnost da pliva na velike udaljenosti. Opaki i lukavi gangster mora. Njegova koža je posebno teksturirana kako bi se smanjilo otpor vode. Njegova brzina dostiže preko 75 milja na sat.",18,888,161,FALSE,FALSE,generation-iii,70,120,40,95,40,95
"Ovaj Pokemon je kukavica. Dok očajnički juri, mlataranje njegovih brojnih nogu ostavlja blistavu čistu stazu za sobom. Njegovo stanište varira od plaža do morskog dna. Prirodni čistač, radosno će jesti sve što je jestivo, ma koliko pokvareno. Pokupiće sve što nađe na zemlji. Ponekad pronađe novčiće, pa će Murkrou i Meovth krenuti za njim.",5,120,46,FALSE,FALSE,generation-vii,25,35,40,20,30,80
"Arctibak zamrzava vazduh oko sebe, štiteći lice ledenom maskom i pretvarajući svoje dorzalno peraje u oštricu leda. Napada oštricom svoje smrznute leđne peraje tako što se okreće napred u vazduhu. Arctibak-ova snažna leđa i noge omogućavaju mu da izvede ovu tehniku.",8,300,148,FALSE,FALSE,generation-ix,90,95,66,45,65,62
"Po ceo dan traži hranu. Poseduje oštro čulo mirisa, ali ga ne koristi ni za šta drugo osim za ishranu. Ovaj Pokemon odbacuje svu hranu osim najbolje. Njegovo telo odaje miris bilja koji Pokemoni mrze.",5,102,51,FALSE,FALSE,generation-ix,54,45,40,35,45,35
"Zato što je veoma ponosan, mrzi da prihvata hranu od ljudi. Njegov gusti puh ga čuva od hladnoće. Živi uz obale u severnim zemljama. Vješt plivač, roni više od 10 minuta u lov. Slabo hoda, često pada. Međutim, njegov snažan ponos ga čini da bezbrižno nadima svoje grudi.",4,52,63,FALSE,FALSE,generation-iv,53,51,53,61,56,40
Njegovi kopljasti šiljci i divlji temperament doneli su mu nadimak „morski vrag“. Upija otrov da bi se hranio.,25,605,179,FALSE,FALSE,generation-viii,85,115,95,65,65,85
"Ovaj Pokemon generiše električnu energiju i usmerava je u svoje noge da bi one bile jake. Boltund može da radi bez prestanka puna tri dana. Šalje struju kroz noge kako bi povećao njihovu snagu. Trčeći maksimalnom brzinom, lako prelazi 50 mph.",10,340,172,FALSE,FALSE,generation-viii,69,90,60,90,60,121
"TREECKO ima male kuke na dnu stopala koje mu omogućavaju da se kreće po vertikalnim zidovima. Ovaj POKeMON napada udarajući neprijatelje svojim debelim repom. TREECKO je hladan, miran i pribran - nikada ne paniči ni u jednoj situaciji. Ako bi veći neprijatelj bijesno pogledao ovog POKeMON-a, on bi odmah uzvratio pogledom bez prepuštanja ni inča zemlje. Svoje gnezdo pravi na džinovskom drvetu u šumi. Svirepo se čuva od svega što se približava njenoj teritoriji. Za njega se kaže da je zaštitnik šumskog drveća.",5,50,62,FALSE,FALSE,generation-iii,40,45,35,65,55,70
"Izbacuje vatrene lopte od preko 3.600 stepeni F sa krajeva svojih krakova. Živi u vulkanskim kraterima. Prilikom lansiranja vatrenih lopti od 3.600 stepeni F, njegovo telo dobija beličastu nijansu od intenzivne toplote. Izbacuje vatrene lopte od preko 3.600 stepeni Farenhajta iz svojih ruku. Njegov dah takođe pršti i cvrči.",16,680,243,FALSE,FALSE,generation-iv,75,95,67,125,95,83
"Poznato kao „Biće emocija“. Naučio je ljude plemenitosti tuge, bola i radosti. Spava na dnu jezera. Za njegov duh se kaže da ostavlja svoje telo da leti na površini jezera. Kada je MESPRIT leteo, ljudi su naučili radost i tugu življenja. Bilo je to rađanje emocija.",3,3,261,TRUE,FALSE,generation-iv,80,105,105,105,105,80
"Gleda u plamen na vrhu svoje grane da bi postigao fokusirano stanje, koje mu omogućava da vidi u budućnost. Koristeći psihičku moć, generiše vatreni vrtlog od 5.400 stepeni Farenhajta, spaljujući neprijatelje uvučene u ovaj plameni vrtlog.",15,390,240,FALSE,FALSE,generation-vi,75,69,72,114,100,104
"Živi u vulkanskim pećinama. Ukopava se svojim stopalima u obliku krsta da bi puzala po plafonima i zidovima. Njegovo telo je napravljeno od čvrstog čelika. Međutim, delimično se topi na mestima zbog sopstvene toplote. Uzavrela krv, poput magme, cirkuliše njegovim telom. Stanuje u vulkanskim pećinama.",17,4300,270,TRUE,FALSE,generation-iv,91,90,106,130,106,77
"Dolliv deli svoje ukusno ulje sa svežim mirisom sa drugima. Ova vrsta koegzistira sa ljudima od davnina. Do mile volje grije se na suncu dok plodovi na glavi ne sazre. Nakon toga, Doliv odlazi iz ljudskih naselja i kreće na putovanje.",6,119,124,FALSE,FALSE,generation-ix,52,53,60,78,78,33
"ARMALDOV čvrst oklop čini da svi napadi odbiju. Dve ogromne kandže ovog POKeMON-a mogu se slobodno proširiti ili skupiti. Imaju moć da probiju čeličnu ploču. ARMALDO je vrsta POKEMONA koja je izumrla u praistorijskim vremenima. Za ovaj POKeMON se kaže da je hodao na zadnjim nogama, što bi bilo pogodnije za život na kopnu. ARMALDO obično živi na kopnu. Međutim, kada lovi plen, roni ispod okeana. Pliva okolo koristeći svoja dva velika krila.",15,682,173,FALSE,FALSE,generation-iii,75,125,100,70,80,45
"Posle rođenja, njena leđa nabrekne i stvrdne u školjku. Snažno prska penu iz usta. Puca vodom na plen dok je u vodi. Povlači se u svoju školjku kada je u opasnosti. Ljuska je mekana kada se rodi. Uskoro postaje toliko otporan da će se prsti odbijati od njega.",5,90,63,FALSE,FALSE,generation-i,44,48,65,50,64,43
Izgleda kao da uvek plače. On zapravo prilagođava nivoe tečnosti u svom telu eliminišući višak. Preferira sušna okruženja. Curi vodu iz očiju da bi prilagodio nivo tečnosti u svom telu. Preferira sušnu atmosferu. Propušta vodu koja liči na suze kada se podešava nivo vlage.,5,150,58,FALSE,FALSE,generation-iv,50,80,95,10,45,10
"Nalazi se u poljima i planinama. Mijenjajući ih sa stenama, ljudi često gaze ili se spotaknu na njih. Obično se nalazi u blizini planinskih staza itd. Ako slučajno stanete na jednu, ona se naljuti. Većina ljudi možda neće primetiti, ali pažljiviji pogled bi trebao otkriti da ima mnogo GEODUDA okolo.",4,200,60,FALSE,FALSE,generation-i,40,80,100,30,30,20
